sl,PubChem_CID,drugbank_id,name,inchikey,inchi,description,smiles,logP,DIRIL_Rank,2023 ATC Search Name,2023 DDD,2023 Unit
67,3784,DB00270,Isradipine,HMJIYCCIJYRONP-UHFFFAOYSA-N,"InChI=1S/C19H21N3O5/c1-9(2)26-19(24)15-11(4)20-10(3)14(18(23)25-5)16(15)12-7-6-8-13-17(12)22-27-21-13/h6-9,16,20H,1-5H3","Isradipine belongs to the dihydropyridine (DHP) class of calcium channel blockers (CCBs), the most widely used class of CCBs. It is structurally related to felodipine, nifedipine, and nimodipine and is the most potent calcium-channel blocking agent of the DHP class. Isradipine binds to calcium channels with high affinity and specificity and inhibits calcium flux into cardiac and arterial smooth muscle cells. It exhibits greater selectivity towards arterial smooth muscle cells owing to alternative splicing of the alpha-1 subunit of the channel and increased prevalence of inactive channels in smooth muscle cells. Isradipine may be used to treat mild to moderate essential hypertension.",COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,4.28,Non-Nephrotoxic,Isradipine,5,mg
68,132999,DB09083,Ivabradine,ACRHBAYQBXXRTO-OAQYLSRUSA-N,"InChI=1S/C27H36N2O5/c1-28(17-21-11-20-14-25(33-4)26(34-5)16-22(20)21)8-6-9-29-10-7-18-12-23(31-2)24(32-3)13-19(18)15-27(29)30/h12-14,16,21H,6-11,15,17H2,1-5H3/t21-/m1/s1","Ivabradine is a novel heart rate lowering medicine for the symptomatic management of stable angina pectoralis and symptomatic chronic heart failure.  Ivabradine, brand name Corlanor, was approved by the FDA in April 2015 for the treatment of chronic heart failure in patients with an ejection fraction of ≤35%, in sinus rhythm with resting heart rate ≥70 beats per minute, who are not on beta-blockers due to contraindications or already receiving maximum beta-blocker dose. Recently a new indication was added to treat symptomatic heart failure from dilated cardiomyopathy for patients 6 months or more in age[Label]. Ivabradine acts by selectively inhibiting the ""funny"" channel pacemaker current (If) in the sinoatrial node in a dose-dependent fashion, resulting in a lower heart rate and thus more blood to flow to the myocardium. Although non-dihydropyridine calcium channel blockers and beta blockers also effectively lower heart rate, they exhibit adverse events due to their negative ionotropic effects. Therefore, as ivabradine is designed as a ""pure"" heart rate-lowering drug by selectively acting on the If channels, it may offer a more favorable side effect profile due to its lower likelihood of causing serious adverse effects.",COC1=C(OC)C=C2[C@@H](CN(C)CCCN3CCC4=CC(OC)=C(OC)C=C4CC3=O)CC2=C1,,Non-Nephrotoxic,Ivabradine,10,mg
69,157920,DB01046,Lubiprostone,WGFOBBZOWHGYQH-MXHNKVEKSA-N,"InChI=1S/C20H32F2O5/c1-2-3-11-19(21,22)20(26)12-10-15-14(16(23)13-17(15)27-20)8-6-4-5-7-9-18(24)25/h14-15,17,26H,2-13H2,1H3,(H,24,25)/t14-,15-,17-,20-/m1/s1","Lubiprostone is a medication used in the management of idiopathic chronic constipation. A prostaglandin E1 derivative, lubiprostone is a bicyclic fatty acid that activates ClC-2 chloride channels located on the apical side of the gastrointestinal epithelial cells. Activation of these channels promotes the secretion of a chloride-rich fluid that soften the stool, increase gastrointestinal motility, and induce spontaneous bowel movements (SBM).",[H][C@@]12CC(=O)[C@H](CCCCCCC(O)=O)[C@@]1([H])CC[C@@](O)(O2)C(F)(F)CCCC,4.3,Non-Nephrotoxic,Lubiprostone,See Dosage Label Dosage Notes,See Dosage Label Dosage Notes
70,4032,DB00657,Mecamylamine,IMYZQPCYWPFTAG-UHFFFAOYSA-N,"InChI=1S/C11H21N/c1-10(2)8-5-6-9(7-8)11(10,3)12-4/h8-9,12H,5-7H2,1-4H3","A nicotinic antagonist that is well absorbed from the gastrointestinal tract and crosses the blood-brain barrier. Mecamylamine has been used as a ganglionic blocker in treating hypertension, but, like most ganglionic blockers, is more often used now as a research tool.",CNC1(C)C2CCC(C2)C1(C)C,2.7,Non-Nephrotoxic,Mecamylamine,See Dosage Label Dosage Notes,See Dosage Label Dosage Notes
71,4057,DB04843,Mepenzolate,GKNPSSNBBWDAGH-UHFFFAOYSA-N,"InChI=1S/C21H26NO3/c1-22(2)15-9-14-19(16-22)25-20(23)21(24,17-10-5-3-6-11-17)18-12-7-4-8-13-18/h3-8,10-13,19,24H,9,14-16H2,1-2H3/q+1","Mepenzolate is a post-ganglionic parasympathetic inhibitor. It decreases gastric acid and pepsin secretion and suppresses spontaneous contractions of the colon. Mepenzolate diminishes gastric acid and pepsin secretion. Mepenzolate also suppresses spontaneous contractions of the colon. Pharmacologically, it is a post-ganglionic parasympathetic inhibitor. It has not been shown to be effective in contributing to the healing of peptic ulcer, decreasing the rate of recurrence, or preventing complications.",C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,,Non-Nephrotoxic,Mepenzolate,0.1,g
72,4091,DB00331,Metformin,XZWYZXLIPXDOLR-UHFFFAOYSA-N,"InChI=1S/C4H11N5/c1-9(2)4(7)8-3(5)6/h1-2H3,(H5,5,6,7,8)","Metformin is a biguanide antihyperglycemic agent and first-line pharmacotherapy used in the management of type II diabetes.[L12207,A176173] 

Metformin is considered an antihyperglycemic drug because it lowers blood glucose concentrations in type II diabetes without causing hypoglycemia. It is commonly described as an ""insulin sensitizer"", leading to a decrease in insulin resistance and a clinically significant reduction of plasma fasting insulin levels.[A176173] Another well-known benefit of this drug is modest weight loss, making it an effective choice for obese patients type II diabetes.[A36559]

Metformin was first approved in Canada in 1972,[A36552] and received subsequent FDA approval in the US in 1995.[L12207]",CN(C)C(=N)NC(N)=N,-2.6,Non-Nephrotoxic,Metformin,2,g
73,1349907,DB00763,Methimazole,PMRYVIKBURPHAH-UHFFFAOYSA-N,"InChI=1S/C4H6N2S/c1-6-3-2-5-4(6)7/h2-3H,1H3,(H,5,7)","Methimazole is a thionamide antithyroid agent that inhibits the synthesis of thyroid hormones.[A184559,A184733,A184694] It was first introduced as an antithyroid agent in 1949[A184502] and is now commonly used in the management of hyperthyroidism, particularly in those for whom more aggressive options such as surgery or radioactive iodine therapy are inappropriate.[L8336,L8339]

On a weight basis, methimazole is 10 times more potent than the other major antithyroid thionamide used in North America, [propylthiouracil],[L8339] and is the active metabolite of the pro-drug [carbimazole], which is an antithyroid medication used in the United Kingdom and parts of the former British Commonwealth.[A184733] Traditionally, methimazole has been preferentially used over propylthiouracil due to the risk of fulminant hepatotoxicity carried by the latter,[A184757] with propylthiouracil being preferred in pregnancy due to a perceived lower risk of teratogenic effects. Despite documented teratogenic effects in its published labels,[L8336,L8339] the true teratogenicity of methimazole appears to be unclear[A184643,A184757,A184763] and its place in therapy may change in the future.",CN1C=CNC1=S,,Non-Nephrotoxic,thiamazole,10,mg
74,4107,DB00423,Methocarbamol,GNXFOGHNGIVQEH-UHFFFAOYSA-N,"InChI=1S/C11H15NO5/c1-15-9-4-2-3-5-10(9)16-6-8(13)7-17-11(12)14/h2-5,8,13H,6-7H2,1H3,(H2,12,14)","Methocarbamol was developed in the early 1950s as a treatment for muscle spasticity and the associated pain.[A178441,A178450] It is a guaiacol glyceryl ether.[A178450]

Methocarbamol tablets and intramuscular injections are prescription medicines indicated in the United States as an adjunct to rest, physical therapy, and other measures for the relief of discomforts associated with acute, painful musculoskeletal conditions.[Label,L6268] In Canada, methocarbamol can be sold as an over the counter oral medicine at a lower dose that may be combined with [acetaminophen] or [ibuprofen].[L6295] A combination product with [acetylsalicylic acid] and [codeine] is available in Canada by prescription.[L6295]

Methocarbamol was FDA approved on 16 July 1957.[L6265]",COC1=C(OCC(O)COC(N)=O)C=CC=C1,0.61,Non-Nephrotoxic,Methocarbamol,3,g
75,4114,DB00553,Methoxsalen,QXKHYNVANLEOEG-UHFFFAOYSA-N,"InChI=1S/C12H8O4/c1-14-12-10-8(4-5-15-10)6-7-2-3-9(13)16-11(7)12/h2-6H,1H3","A naturally occurring furocoumarin compound found in several species of plants, including Psoralea corylifolia. It is a photoactive substance that forms DNA adducts in the presence of ultraviolet A irradiation.",COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,1.7,Non-Nephrotoxic,Methoxsalen,10,mg
76,4168,DB01233,Metoclopramide,TTWJBBZEZQICBI-UHFFFAOYSA-N,"InChI=1S/C14H22ClN3O2/c1-4-18(5-2)7-6-17-14(19)10-8-11(15)12(16)9-13(10)20-3/h8-9H,4-7,16H2,1-3H3,(H,17,19)","Diabetic gastroparesis is a condition that causes frequent nausea and vomiting, which has a negative impact on quality of life and poses a significant burden on the healthcare system.[A184934] Metoclopramide is a dopamine antagonist used to treat nausea and vomiting that may be associated with diabetic gastroparesis in addition to gastroesophageal reflux disease (GERD). It can also be used to prevent nausea or vomiting associated with chemotherapy or certain surgical or diagnostic procedures.[L8417] 

One unique property of this drug is that it does not increase gastric acid secretion. It is available in the oral tablet form or in solution, and can also be administered through the intravenous route.[T683] Metoclopramide was initially approved by the FDA in 1980.[A184922]",CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,2.667,Non-Nephrotoxic,Metoclopramide,30,mg
77,4170,DB00524,Metolazone,AQCHWTWZEMGIFD-UHFFFAOYSA-N,"InChI=1S/C16H16ClN3O3S/c1-9-5-3-4-6-14(9)20-10(2)19-13-8-12(17)15(24(18,22)23)7-11(13)16(20)21/h3-8,10,19H,1-2H3,(H2,18,22,23)",A quinazoline-sulfonamide that is considered a thiazide-like diuretic which is long-acting so useful in chronic renal failure. It also tends to lower blood pressure and increase potassium loss.,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,2.5,Non-Nephrotoxic,Metolazone,5,mg
78,4178,DB00379,Mexiletine,VLPIATFUUWWMKC-UHFFFAOYSA-N,"InChI=1S/C11H17NO/c1-8-5-4-6-9(2)11(8)13-7-10(3)12/h4-6,10H,7,12H2,1-3H3",Antiarrhythmic agent pharmacologically similar to lidocaine. It may have some anticonvulsant properties.,CC(N)COC1=C(C)C=CC=C1C,2.15,Nephrotoxic,Mexiletine,0.8,g
79,4195,DB00211,Midodrine,PTKSEFOSCHHMPD-UHFFFAOYSA-N,"InChI=1S/C12H18N2O4/c1-17-8-3-4-11(18-2)9(5-8)10(15)7-14-12(16)6-13/h3-5,10,15H,6-7,13H2,1-2H3,(H,14,16)",An ethanolamine derivative that is an adrenergic alpha agonist. It is used as a vasoconstrictor agent in the treatment of hypotension.,COC1=CC(C(O)CNC(=O)CN)=C(OC)C=C1,-0.5,Non-Nephrotoxic,Midodrine,30,mg
80,51634,DB00419,Miglustat,UQRORFVVSGFNRO-UTINFBMNSA-N,"InChI=1S/C10H21NO4/c1-2-3-4-11-5-8(13)10(15)9(14)7(11)6-12/h7-10,12-15H,2-6H2,1H3/t7-,8+,9-,10-/m1/s1","Miglustat, commonly marketed under the trade name Zavesca, is a drug used to treat Gaucher disease. It inhibits the enzyme glucosylceramide synthase, an essential enzyme for the synthesis of most glycosphingolipids. It is only used for patients who cannot be treated with enzyme replacement therapy with imiglucerase. Miglustat is now the first and only approved therapy for patients with Niemann-Pick disease type C (NP-C). It has recently been approved for treatment of progressive neurological symptoms in adult and pediatric patients in the European Union, Brazil, and South Korea. Miglustat was first developed as an anti-HIV agent in the 1990s. However, clinical experience with miglustat showed that therapeutic levels of the drug could not be achieved in patients without a high incidence of adverse effect.",CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,-0.6,Non-Nephrotoxic,Miglustat,0.3,g
81,4201,DB00350,Minoxidil,ZFMITUMMTDLWHR-UHFFFAOYSA-N,"InChI=1S/C9H15N5O/c10-7-6-8(12-9(11)14(7)15)13-4-2-1-3-5-13/h6H,1-5,10H2,(H2,11,12)",A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure.,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,1.24,Non-Nephrotoxic,Minoxidil,20,mg
82,23897,DB01618,Molindone,KLPWJLBORRMFGK-UHFFFAOYSA-N,"InChI=1S/C16H24N2O2/c1-3-13-11(2)17-14-5-4-12(16(19)15(13)14)10-18-6-8-20-9-7-18/h12,17H,3-10H2,1-2H3","An indole derivative effective in schizophrenia and other psychoses and possibly useful in the treatment of the aggressive type of undersocialized conduct disorder. Molindone has much lower affinity for D2 receptors than most antipsychotic agents and has a relatively low affinity for D1 receptors. It has only low to moderate affinity for cholinergic and alpha-adrenergic receptors. Some electrophysiologic data from animals indicate that molindone has certain characteristics that resemble those of clozapine. (From AMA Drug Evaluations Annual, 1994, p283)",CCC1=C(C)NC2=C1C(=O)C(CN1CCOCC1)CC2,,Non-Nephrotoxic,Molindone,50,mg
83,4497,DB00393,Nimodipine,UIAGMCDKSXEBJQ-UHFFFAOYSA-N,"InChI=1S/C21H26N2O7/c1-12(2)30-21(25)18-14(4)22-13(3)17(20(24)29-10-9-28-5)19(18)15-7-6-8-16(11-15)23(26)27/h6-8,11-12,19,22H,9-10H2,1-5H3","Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm.",COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,3.05,Non-Nephrotoxic,Nimodipine,0.3,g
84,4499,DB00401,Nisoldipine,VKQFCGNPDRICFG-UHFFFAOYSA-N,"InChI=1S/C20H24N2O6/c1-11(2)10-28-20(24)17-13(4)21-12(3)16(19(23)27-5)18(17)14-8-6-7-9-15(14)22(25)26/h6-9,11,18,21H,10H2,1-5H3","Nisoldipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nisoldipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Nisoldipine may be used in alone or in combination with other agents in the management of hypertension.",COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,3.26,Non-Nephrotoxic,Nisoldipine,20,mg
85,115355,DB00348,Nitisinone,OUBCNLGXQFSTLU-UHFFFAOYSA-N,"InChI=1S/C14H10F3NO5/c15-14(16,17)7-4-5-8(9(6-7)18(22)23)13(21)12-10(19)2-1-3-11(12)20/h4-6,12H,1-3H2",Nitisinone is a synthetic reversible inhibitor of 4-hydroxyphenylpyruvate dioxygenase. It is used in the treatment of hereditary tyrosinemia type 1. It is sold under the brand name Orfadin.,[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O,1.6,Non-Nephrotoxic,Nitisinone,20,mg
86,447715,DB05990,Obeticholic acid,ZXERDUOLZKYMJM-ZWECCWDJSA-N,"InChI=1S/C26H44O4/c1-5-17-21-14-16(27)10-12-26(21,4)20-11-13-25(3)18(15(2)6-9-22(28)29)7-8-19(25)23(20)24(17)30/h15-21,23-24,27,30H,5-14H2,1-4H3,(H,28,29)/t15-,16-,17-,18-,19+,20+,21+,23+,24-,25-,26-/m1/s1","Primary biliary cirrhosis, or PBC, is a progressive and chronic condition that leads to hepatic injury often resulting in end-stage liver failure that requires liver transplantation.[A192786]

Obeticholic acid is a farnesoid-X receptor (FXR) agonist used to treat this condition, possibly allowing for increased survival.[A18696]  In 2016, it was granted approval to treat primary biliary cholangitis in combination with [ursodeoxycholic acid], which was previously the mainstay treatment for this condition.[A18696,L12633] In May 2021, the FDA updated its prescribing information to contraindicate the use of obeticholic acid in patients with PBC and advanced cirrhosis (e.g. those with portal hypertension or hepatic decompensation) due to a risk of liver failure, in some cases requiring liver transplantation.[L34650] 

Obeticholic acid is currently being considered for FDA approval to treat fibrosis caused by non-alcoholic liver steatohepatitis (NASH). The NDA from Intercept Pharmaceuticals was approved in November 2019 and obeticholic acid is expected to be granted full approval for this indication in 2020.[L12636]",[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,5.11,Non-Nephrotoxic,Obeticholic acid,10,mg
87,4595,DB00904,Ondansetron,FELGMEQIXOGIFQ-UHFFFAOYSA-N,"InChI=1S/C18H19N3O/c1-12-19-9-10-21(12)11-13-7-8-16-17(18(13)22)14-5-3-4-6-15(14)20(16)2/h3-6,9-10,13H,7-8,11H2,1-2H3","A competitive serotonin type 3 receptor antagonist. It is effective in the treatment of nausea and vomiting caused by cytotoxic chemotherapy drugs, including cisplatin, and has reported anxiolytic and neuroleptic properties.

Having been developed in the 1980s by GlaxoSmithKline and approved by the US FDA since January 1991, ondansetron has demonstrated a long history of use and efficacy. Commonly formulated as oral tablets, orally disintegrating tablets (ODT), and injections, and available as generic products as well, ondansetron continues to see contemporary innovations in its formulation and use, including the development of orally soluble films that are both discreet in administration and less of a burden in comparison to having patients attempt to swallow pills during emesis.[L5221]

The FDA withdrew its approval for the use of all intravenous drug products containing more than 16 mg of ondansetron hydrochloride in a single dose, due to a high risk of QT prolongation.[L44067,L43942]",CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,2.4,Non-Nephrotoxic,Ondansetron,16,mg
88,5878,DB00621,Oxandrolone,QSLJIVKCVHQPLV-PEMPUTJUSA-N,"InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3/t12-,13+,14-,15-,17-,18-,19-/m0/s1",A synthetic hormone with anabolic and androgenic properties.,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C,4.2,Non-Nephrotoxic,Oxandrolone,See Dosage Label Dosage Notes,See Dosage Label Dosage Notes
89,4631,DB01580,Oxprenolol,CEMAWMOMDPGJMB-UHFFFAOYSA-N,"InChI=1S/C15H23NO3/c1-4-9-18-14-7-5-6-8-15(14)19-11-13(17)10-16-12(2)3/h4-8,12-13,16-17H,1,9-11H2,2-3H3","A beta-adrenergic antagonist used in the treatment of hypertension, angina pectoris, arrhythmias, and anxiety.",CC(C)NCC(O)COC1=CC=CC=C1OCC=C,2.1,Non-Nephrotoxic,Oxprenolol,0.16,g
90,4634,DB01062,Oxybutynin,XIQVNETUBQGFHX-UHFFFAOYSA-N,"InChI=1S/C22H31NO3/c1-3-23(4-2)17-11-12-18-26-21(24)22(25,19-13-7-5-8-14-19)20-15-9-6-10-16-20/h5,7-8,13-14,20,25H,3-4,6,9-10,15-18H2,1-2H3","Overactive bladder (OAB) is a common condition negatively impacting the lives of millions of patients worldwide.  Due to its urinary symptoms that include nocturia, urgency, and frequency, this condition causes social embarrassment and a poor quality of life.[A185996,A185999] 

Oxybutynin, also marketed as Ditropan XL, is an anticholinergic medication used for the relief of overactive bladder symptoms that has been optimized for high levels of safety and efficacy since initial FDA approval in 1975.[A183782,L8648] This drug relieves undesirable urinary symptoms, increasing the quality of life for patients affected by OAB.  It is often used as first-line therapy for OAB.[A185990]",CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,4.3,Non-Nephrotoxic,Oxybutynin,15,mg
91,4740,DB00806,Pentoxifylline,BYPFEZZEUUWMEJ-UHFFFAOYSA-N,"InChI=1S/C13H18N4O3/c1-9(18)6-4-5-7-17-12(19)10-11(14-8-15(10)2)16(3)13(17)20/h8H,4-7H2,1-3H3","Pentoxifylline (PTX) is a synthetic dimethylxanthine derivative that modulates the rheological properties of blood and also has both anti-oxidant and anti-inflammatory properties.[A226415, L30300] Although originally developed to treat intermittent claudication, a form of exertion-induced leg pain common in patients with peripheral arterial disease, PTX has been investigated for its possible use in diverse conditions, including osteoradionecrosis, diabetic kidney disease, and generally any condition associated with fibrosis.[A226410, A226415, A226455] More recently, PTX has been suggested as a possible treatment for COVID-19-induced pulmonary complications due to its ability to regulate the production of inflammatory cytokines.[A226608]

Pentoxifylline has been marketed in Europe since 1972; PTX extended-release tablets sold under the trade name TRENTAL by US Pharm Holdings were first approved by the FDA on Aug 30, 1984, but have since been discontinued. A branded product, PENTOXIL, marketed by Upsher-Smith Laboratories, and generic forms marketed by Valeant Pharmaceuticals and APOTEX have been available since the late 1990s.[L30300]",CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,0.29,Non-Nephrotoxic,Pentoxifylline,1,g
92,4768,DB00925,Phenoxybenzamine,QZVCTJOXCFMACW-UHFFFAOYSA-N,"InChI=1S/C18H22ClNO/c1-16(15-21-18-10-6-3-7-11-18)20(13-12-19)14-17-8-4-2-5-9-17/h2-11,16H,12-15H2,1H3",An alpha-adrenergic antagonist with long duration of action. It has been used to treat hypertension and as a peripheral vasodilator.,CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1,4.7,Non-Nephrotoxic,Phenoxybenzamine,30,mg
93,4771,DB00191,Phentermine,DHHVAGZRUROJKS-UHFFFAOYSA-N,"InChI=1S/C10H15N/c1-10(2,11)8-9-6-4-3-5-7-9/h3-7H,8,11H2,1-2H3","Phentermine is a sympathomimetic amine anorectic agent and it was introduced in 1959 as part of an anti-obesity combination drug.[A174361, A174364] It is chemically related to amphetamine and it is commonly referred to as an atypical amphetamine.[A174370] Phentermine has not been reported an addictive potential which allows this agent to be classified under the Schedule IV drugs (low abuse potential).[A174367]

Phentermine was FDA approved for short-term weight management in 1959 and it became widely used in 1960. This initial product, formed by the combination of phentermine with [fenfluramine] and [dexfenfluramine] was discontinued after finding several reports of abnormal valves in nearly 30% of the consumers.[A174376, T403] Later on, phentermine was approved alone and in combination with topiramate in 2012 as a new alternative that required lower doses of phentermine to obtain the desired effect.[A174373]",CC(C)(N)CC1=CC=CC=C1,1.9,Non-Nephrotoxic,Phentermine,15,mg
94,4828,DB00960,Pindolol,JZQKKSLKJUAGIC-UHFFFAOYSA-N,"InChI=1S/C14H20N2O2/c1-10(2)16-8-11(17)9-18-14-5-3-4-13-12(14)6-7-15-13/h3-7,10-11,15-17H,8-9H2,1-2H3","Pindolol is a first generation non-selective beta blocker used in the treatment of hypertension.[L32353] Early research into the use of pindolol found it had chronotropic effects, and so further investigation focused on the treatment of arrhythmia.[A231059] Research into pindolol's use in the treatment of hypertension began in the early 1970s.[A231064]

Pindolol was granted FDA approval on 3 September 1982.[L32348]",CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,1.75,Non-Nephrotoxic,Pindolol,15,mg
95,4829,DB01132,Pioglitazone,HYAFETHFCAUJAY-UHFFFAOYSA-N,"InChI=1S/C19H20N2O3S/c1-2-13-3-6-15(20-12-13)9-10-24-16-7-4-14(5-8-16)11-17-18(22)21-19(23)25-17/h3-8,12,17H,2,9-11H2,1H3,(H,21,22,23)","Pioglitazone is an antihyperglycemic used as an adjunct to diet, exercise, and other antidiabetic medications to manage type 2 diabetes mellitus.[L11416,L11419,L11422,L11425] It is administered as a racemic mixture, though there is no pharmacologic difference between the enantiomers and they appear to interconvert _in vivo_ with little consequence.[L11416] The thiazolidinedione class of medications, which also includes [rosiglitazone] and [troglitazone], exerts its pharmacological effect primarily by promoting insulin sensitivity and the improved uptake of blood glucose[L11416] via agonism at the peroxisome proliferator-activated receptor-gamma (PPARγ).[A19757] PPARs are ligand-activated transcription factors that are involved in the expression of more than 100 genes and affect numerous metabolic processes, most notably lipid and glucose homeostasis.[A19759]

Thiazolidinediones, including pioglitazone, have fallen out of favor in recent years due to the presence of multiple adverse effects and warnings regarding their use (e.g. congestive heart failure, bladder cancer) and the availability of safer and more effective alternatives for patients with type 2 diabetes mellitus.[L11461]",CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,,Non-Nephrotoxic,Pioglitazone,30,mg
96,6918456,DB06209,Prasugrel,DTGLZDAWLRGWQN-UHFFFAOYSA-N,"InChI=1S/C20H20FNO3S/c1-12(23)25-18-10-14-11-22(9-8-17(14)26-18)19(20(24)13-6-7-13)15-4-2-3-5-16(15)21/h2-5,10,13,19H,6-9,11H2,1H3","Prasugrel, a thienopyridine derivative, is a platelet activation and aggregation inhibitor structurally and pharmacologically related to clopidogrel and ticlopidine. Similar to clopidogrel, prasugrel is a prodrug that requires enzymatic transformation in the liver to its active metabolite, R-138727. R-138727 irreversibly binds to P2Y12 type ADP receptors on platelets thus preventing activation of the GPIIb/IIIa receptor complex. As a result, inhibition of ADP-mediated platelet activation and aggregation occurs. Prasugrel was developed by Daiichi Sankyo Co. and is currently marketed in the United States and Canada in cooperation with Eli Lilly and Company for acute coronary syndromes planned for percutaneous coronary intervention (PCI). FDA approved in 2009.",CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,3.536,Non-Nephrotoxic,Prasugrel,10,mg
97,4927,DB01069,Promethazine,PWWVAXIEGOYWEE-UHFFFAOYSA-N,"InChI=1S/C17H20N2S/c1-13(18(2)3)12-19-14-8-4-6-10-16(14)20-17-11-7-5-9-15(17)19/h4-11,13H,12H2,1-3H3","Promethazine, originally known as 3,277 R.P., is an N-dimethylaminopropyl derivative of [phenothiazine] that was developed in France in 1946.[A189901] Promethazine antagonizes a variety of receptors, allowing it to be used for a number of indications including allergic reactions, pain, sedation, nausea, and vomiting.[A189907,A190153,A190159,A190150,A190171]

Promethazine was granted FDA approval before 29 March 1951.[A190177,L4000]",CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,4.81,Non-Nephrotoxic,Promethazine,25,mg
98,10100,DB00647,Dextropropoxyphene,XLMALTXPSGQGBX-GCJKJVERSA-N,"InChI=1S/C22H29NO2/c1-5-21(24)25-22(18(2)17-23(3)4,20-14-10-7-11-15-20)16-19-12-8-6-9-13-19/h6-15,18H,5,16-17H2,1-4H3/t18-,22+/m1/s1","Dextropropoxyphene is an opioid analgesic manufactured by Eli Lilly and Company. It is used in the symptomatic treatment of mild pain. It displays antitussive and local anaesthetic actions. Due to the risk of cardiac arrhythmias and overdose, possibly leading to death, dextropropoxyphene has been withdrawn from the market in Europe and the United States. The drug is often referred to as the general form, ""propoxyphene"", however only the dextro-isomer (dextropropoxyphene) has any analgesic effect. The levo-isomer appears to exhibit a very limited antitussive effect.",CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,4.18,Non-Nephrotoxic,Dextropropoxyphene,0.2,g
99,4946,DB00571,Propranolol,AQHHHDLHHXJYJD-UHFFFAOYSA-N,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3","Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]",CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,3.48,Non-Nephrotoxic,Propranolol,0.16,g
