iteration,metabolite_smiles,metabolite_pred,metabolite_proba,metabolite_optimal_threshold_from_train,metabolite_pred_optimal,dataset,featurespace
143,['COc1ccnc(CS(=O)(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1'],[1.],[0.84608881],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
144,['O=C([O-])CNC(=O)COCC[N+]1(O)CC[NH+](C(c2ccccc2)c2ccc(Cl)cc2)CC1'],[0.],[0.46638398],0.49009421294715416,[0],Metabolite Compounds Train,morgan_fingerprint
145,['Cc1cc(C#N)cc(C)c1Oc1[n-]c(=Nc2ccc(N)c([O-])c2)[n-]c(=N)c1Br'],[1.],[0.85936724],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
146,['CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH+](C(=O)[O-])CC3)cc21'],[1.],[0.87251891],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
147,['CCC[NH+](CCC)CCc1ccc([O-])c2[n-]c([O-])cc12'],[1.],[0.87283324],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
148,['CC1(C)C2CCC1C1CC(CCOCC[NH+]3CCOCC3)C1C2'],[0.],[0.4219212],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
149,['CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(OS(=O)(=O)[O-])c(C(N)=O)c1'],[0.],[0.20400719],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
150,['CCCCc1nc(Cl)c(C(=O)[O-])n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)c([O-])c1'],[1.],[0.92005419],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
151,['CNS(=O)(=O)CCc1ccc2[nH]cc(C3=CC[NH+](C)CC3)c2c1'],[0.],[0.20724511],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
152,['CS(=O)(=O)Nc1ccc(C(O)C[NH3+])cc1'],[1.],[0.65256429],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
153,['CCCC[NH+]=C(O)NS(=O)(=O)c1ccc(/C=C/O)cc1'],[1.],[0.59263792],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
154,['O=C(OCC[NH+]1CCCCC1)c1cccc2c(=O)c(CO)c(-c3ccccc3)oc12'],[1.],[0.57039518],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
155,['CC1C[NH+](CC(Cc2ccccc2)C(=O)NCC(=O)[O-])CCC1(C)c1cccc(OS(=O)(=O)[O-])c1'],[0.],[0.45850014],0.490094212947154,[0],Metabolite Compounds Train,morgan_fingerprint
156,['COc1cc2nc(N)nc(N)c2cc1OC'],[1.],[0.62176879],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
157,['Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1OC1CCOC1'],[1.],[0.83847872],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
158,['O=S(=O)([O-])Cc1noc2ccc([O-])cc12'],[1.],[0.76754039],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
159,['[NH3+]C12CC3CC(O)(C1)CC(O)(C3)C2'],[1.],[0.7486826],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
160,['COC1C=CC=CC=CC(C)CC(C)C(=O)C(OC)C(O)C(C)C=C(C)C(=O)CC(C(C)CC2CCC(O)C(OC)C2)OC(=O)C2CCCC[NH+]2C(=O)C(=O)C2(O)OC(C1)CC(O)C2C'],[1.],[0.92103499],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
161,['CCC(C)C(=O)O[C@H]1C[C@](C)(O)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21'],[1.],[0.60490115],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
162,['Nc1nc2c([O-])cc(OC(F)(F)F)cc2s1'],[1.],[0.92563829],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
163,['COc1cc2c(cc1OC)CC(=O)[NH+](CCC[NH+](C)CC1Cc3cc(OC)c(OC)cc3C1)CC2'],[1.],[0.57034555],0.490094212947154,[1],Metabolite Compounds Train,morgan_fingerprint
164,['C[NH2+]CCC[NH+]1CCc2cc(OC)c(OC)cc2CC1=O'],[1.],[0.7703266],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
165,['O=C([O-])c1cccc2nc([O-])n(Cc3ccc(-c4ccccc4-c4nn[n-]n4)cc3)c12'],[1.],[0.92934504],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
166,['C[NH2+]CC(c1ccc(OC)cc1)C1(O)CCCCC1O'],[1.],[0.78618104],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
167,['[NH3+]CC1CCC(C(=O)NCC2CCC(C(=O)[O-])CC2)CC1'],[1.],[0.83983632],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
168,['CN(CCCNC(=O)C1CCCO1)c1nc(N)c2cc([O-])c([O-])cc2n1'],[1.],[0.74226757],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
169,['NC(=O)Cc1ccc([O-])cc1'],[1.],[0.8058686],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
170,['O=C([O-])C(c1ccccc1Cl)[NH+]1CCc2sc([O-])cc2C1'],[1.],[0.83267806],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
171,['C[N+](C)(O)CCCOc1nn(Cc2ccccc2)c2ccccc12'],[1.],[0.65058208],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
172,['CNc1nc(=N)c2cc(OC)c(OC)cc2[n-]1'],[1.],[0.74576905],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
173,['CCOc1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1[O-]'],[1.],[0.84725714],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
174,['NC(=O)C(CCC(=O)[O-])[NH+]1C(=O)c2ccccc2C1=O'],[1.],[0.84489919],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
175,['CNC(=O)c1cc(Oc2ccc([NH+](C(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)cc2)ccn1'],[1.],[0.73302739],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
176,['Cc1cc(C=CC#N)cc(CO)c1N=c1cc[n-]c(=Nc2ccc(N)cc2)[n-]1'],[1.],[0.88349334],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
177,['C=C(c1ccc(C(=O)O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C'],[1.],[0.88725473],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
178,['Nc1ccc(S(=O)(=O)NCC(O)C(Cc2ccccc2)NC(=O)OC2CCOC2)cc1'],[1.],[0.79740913],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
179,['Cc1nc[n-]c1CSCC[NH3+]'],[1.],[0.8253618],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
180,['C[NH+]1CC[NH+](Cc2ccc(C(=O)NC3=CC(N=c4nc(-c5cccnc5)cc[n-]4)C(CO)C=C3)cc2)CC1'],[1.],[0.73290021],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
181,['CCOCCOC(=O)c1c(C)nc(C)c(C(=O)OC(C)C)c1-c1cccc([N+](=O)[O-])c1'],[0.],[0.15393824],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
182,['O=C1[N-]C(=O)[C@@](c2ccccc2)(c2ccc([O-])c([O-])c2)N1'],[1.],[0.52081342],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
183,['NC(=[NH2+])Nc1nc(CSCCC(N)=O)cs1'],[1.],[0.82861853],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
184,['Nc1c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c2c1[O-]'],[1.],[0.94083173],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
185,['NC(=O)[NH+]1CCC(CC(=O)[NH+]2CCC(C3c4ncc(Br)cc4CCc4cc(Cl)cc(Cl)c43)CC2)C(O)C1'],[1.],[0.7846821],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
186,['COc1cc2[n-]c(N3CC[NH+](C(=O)c4ccco4)CC3)nc(=N)c2cc1OCO'],[0.],[0.18833489],0.4900942129471541,[0],Metabolite Compounds Train,morgan_fingerprint
187,['CCC(C)(C)C(=O)O[C@@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21'],[1.],[0.86499839],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
188,['C[NH+]1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn4c3c2OCC4(C)OCC2OC(O)C(O)C2O)CC1'],[1.],[0.81836231],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
189,['CCCC(C)(CO)COC(=O)NC(C)C'],[1.],[0.70302912],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
190,['Cc1nc(=Nc2ncc(C(=O)Nc3c(C)cccc3Cl)o2)cc(N2CC[NH+](CCO)CC2)[n-]1'],[1.],[0.63704539],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
191,['Cc1ccc(NC(=O)c2ccc(C[NH+]3CC[NH2+]CC3)cc2)cc1N=c1nc(C2=C[NH+](O)CC=C2)cc[n-]1'],[1.],[0.65523077],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
192,['CN(C)c1ccc([O-])c2c1CC1CC3C(O)(C(N)=O)C(=O)C3(O)C(=O)C1C2=O'],[1.],[0.76886766],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
193,['OC[C@H]1O[C@@H](n2cnc3c(Cl)nc(Cl)nc32)C[C@@H]1O'],[0.],[0.49777488],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
194,['CCC(C)C(=O)OC1CC(OC2OC(C(=O)[O-])C(O)C(O)C2O)C=C2C=CC(C)C(CCC(O)O)C21'],[1.],[0.90883192],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
195,['CC1=N[NH+](C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c([O-])c(=O)n2C)C(=O)C1'],[0.],[0.21592566],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
196,['CC(C)C[NH+](CC(OP(=O)([O-])[O-])C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(NO)cc1'],[1.],[0.8460606],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
197,['CC(CN1c2ccccc2Sc2cc([O-])ccc21)[NH+](C)C'],[0.],[0.49949121],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
198,['CN(C)c1ccc([O-])c2c1CC1CC3C(O)C(O)(C(N)=O)C(=O)C3(O)C(=O)C1C2=O'],[1.],[0.90548914],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
199,['C[C@H]([NH3+])[C@H](O)c1cccc(Cl)c1'],[1.],[0.61033563],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
200,['O=C([O-])C(c1ccccc1F)[NH+]1CCc2sc([O-])cc2C1'],[1.],[0.59525632],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
201,['OC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21'],[1.],[0.81751953],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
202,['COc1cc[n+](CS(=O)c2nc3cc(OC(F)F)ccc3[n-]2)c(C[S@@](=O)c2nc3cc(OC(F)F)ccc3[n-]2)c1OC'],[1.],[0.798447],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
203,['NC(=O)OCC1=C(C(=O)[O-])[NH+]2C(=O)C([NH3+])C2SC1'],[1.],[0.83360907],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
204,['CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C([NH3+])CC(C)C'],[1.],[0.78959536],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
205,['Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)OC1O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]1O'],[1.],[0.93019789],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
206,['O=c1[n-]c2cc(Cl)c([O-])cc2n1C1CC[NH2+]CC1'],[1.],[0.66363357],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
207,['CCCC(NC(=O)C1C2CCC(O)C2C[NH+]1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1'],[1.],[0.89844832],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
208,['COC(=O)C(c1ccccc1Cl)[NH+]1CCc2sccc2C1O'],[1.],[0.82435272],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
209,['C[NH+](C)C=CCC(=O)Nc1cc2c(=Nc3ccc(F)c(Cl)c3)[n-]cnc2cc1[O-]'],[1.],[0.86664687],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
210,['CCC(C)(C)C(=O)OC1CC(C)C(O)C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C12'],[1.],[0.83577617],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
211,['Cn1cnc2c1c(=O)n(CCCCC(=O)[O-])c(=O)n2CO'],[0.],[0.30088862],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
212,['Cc1c(OCC(F)(F)F)ccnc1CS(=O)(=O)c1nc2cc([O-])ccc2[n-]1'],[1.],[0.88189372],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
213,['CC1(C)C2CCC1C(CCOCC[NH+]1CCOCC1)C2'],[0.],[0.34574175],0.5370464302492379,[0],Metabolite Compounds Train,morgan_fingerprint
214,['CC(CN1c2ccccc2Sc2c([O-])cccc21)[NH+](C)C'],[0.],[0.27428541],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
215,['CCC(O)CCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.88525943],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
216,['C[NH+](C)CCCOc1nn(Cc2ccccc2)c2ccc([O-])cc12'],[1.],[0.8343772],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
217,['CC([NH3+])(CO)Cc1ccc([O-])cc1'],[1.],[0.86607157],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
218,['CC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@@]21C'],[1.],[0.62446273],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
219,['COc1ccc(CNc2nc([NH+]3CCCC3C=O)ncc2C(=O)NCc2ncccn2)cc1Cl'],[0.],[0.43506042],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
220,['CC1C[NH2+]CC[NH+]1c1c(F)cc2c(=O)c(C(=O)[O-])cn(C3CC3)c2c1[O-]'],[1.],[0.90048815],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
221,['CC1=NC(C)=C(C(=O)[O-])C(c2cccc([N+](=O)[O-])c2)C1C(=O)OC(C)C'],[0.],[0.05632134],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
222,['c1ccc2c(c1)Cc1cccnc1[NH+]1CC[NH2+]C[C@@H]21'],[1.],[0.75643111],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
223,['O=C([O-])Cc1c[nH]c2ccccc12'],[0.],[0.38909776],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
224,['CCC[NH+](CCC)CCc1cccc2[n-]c([O-])c([O-])c12'],[1.],[0.89710988],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
225,['c1nc(N2CCCCC2)c2nc(N3CCCCC3)nc(N3CCOCC3)c2n1'],[1.],[0.65909373],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
226,['COc1ccc2cc(C(C)C(=O)O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)ccc2c1'],[1.],[0.90285896],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
227,['COc1cc2c(cc1[O-])CC(=O)[NH+](CCC[NH+](C)CC1Cc3cc(OC)c(OC)cc3C1)CC2'],[1.],[0.88189318],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
228,['Cc1cc(C#N)cc(C)c1Oc1[n-]c(=N)[n-]c(=O)c1Br'],[1.],[0.79791303],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
229,['[NH3+]CC1(CC=O)CCCCC1'],[1.],[0.83829931],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
230,['Cc1ccc(C(O)=Nc2cc(-n3cnc(CO)c3)cc(C(F)(F)F)c2)cc1N=c1nc(-c2cccnc2)cc[n-]1'],[1.],[0.88380724],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
231,['C=CC(=O)CCC(=O)[O-]'],[1.],[0.78809291],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
232,['CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2cccc(C(=O)OC3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2)cc1'],[1.],[0.71193182],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
233,['COCCCOc1ccnc(CSc2nc3ccc([O-])cc3[n-]2)c1C'],[1.],[0.8401491],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
234,['CN1C(CCl)=[NH+]c2c(S(N)(=O)=O)cc(S(N)(=O)=O)c(Cl)c2S1(=O)=O'],[1.],[0.57449545],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
235,['N=c1[n-]c(=O)n(C2CSC(C(=O)[O-])O2)cc1F'],[1.],[0.90172242],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
236,['C[NH2+]CCOC(c1ccccc1)c1ccccc1'],[1.],[0.7131713],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
237,['CCCCCCCCCCCC(CC(O)C(CCCCCC)C(=O)[O-])OC(=O)C(CC(C)C)NC=O'],[1.],[0.74771074],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
238,['CCOC(=O)c1c(C)nc(C)c(C(=O)OCC(C)C)c1-c1ccccc1N'],[1.],[0.7826142],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
239,['CCCCC1=[NH+]C2(CCC(O)C2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1'],[1.],[0.81813234],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
240,['N=c1[n-]c(=O)n(C2OC(CO)C(O)C2O)cc1F'],[1.],[0.85478787],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
241,['C[NH+]1CCC(C=O)(c2ccccc2)CC1'],[1.],[0.62465964],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
242,['CC12CC3(C)CC([NH3+])(C1)CC(CO)(C2)C3'],[1.],[0.77758638],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
243,['O=C1CCCC(O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]'],[0.],[0.25515273],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
244,['CCOC(=O)C1=C(COCC[NH3+])N=C(C)C(C(=O)OC)C1c1ccccc1'],[0.],[0.32798216],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
245,['O=C([O-])CC1(CNC(=O)CCC(O)C(O)C(O)CO)CCCCC1'],[1.],[0.670311],0.49009421294715416,[1],Metabolite Compounds Train,morgan_fingerprint
246,['NC(=O)OC[C@H](O)COc1ccccc1[O-]'],[1.],[0.72362829],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
247,['CCOC(=O)c1c(C)nc(C)c(C(=O)OC(C)C)c1-c1cccc([N+](=O)[O-])c1'],[0.],[0.12353791],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
248,['CC(=O)[NH+]1CC[NH+](c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)C(O)C1'],[0.],[0.20083007],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
249,['CC(C)C(C)([NH3+])Cc1ccc([O-])cc1'],[1.],[0.81886724],0.5370464302492379,[1],Metabolite Compounds Train,morgan_fingerprint
250,['ClCC[NH2+]Cc1ccccc1'],[1.],[0.80892595],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
251,['CC([NH2+]C(C)(C)CO)C(O)c1cccc(Cl)c1'],[1.],[0.7173166],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
252,['Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5ccc[n+]([O-])c5)n4)c3)cc(C(F)(F)F)c2)cn1'],[1.],[0.7414026],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
253,['Cc1cc(C#N)cc(C)c1Oc1[n-]c(=Nc2ccc(C#N)cc2[O-])[n-]c(=N)c1Br'],[1.],[0.8278644],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
254,['CC(C)[NH+](O)c1cccnc1N1CC[NH+](C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1'],[0.],[0.30960312],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
255,['CN(C)C(N)=[NH2+]'],[1.],[0.83963896],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
256,['Cc1ccc(S(=O)(=O)[N-]C(=O)[N-]N2CCCC(O)CC2)cc1'],[0.],[0.1794058],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
257,['CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccc([O-])cc2C(=O)[O-])cc1'],[1.],[0.91277038],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
258,['CC(=O)NCC1(CC(=O)[O-])CCCCC1'],[1.],[0.83645983],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
259,['CCNC(=O)C1(c2ccccc2)CC1C[NH3+]'],[1.],[0.7774586],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
260,['NP(=O)(OCCCCl)[NH+](CCCl)CCCl'],[1.],[0.89391865],0.4900942129471541,[1],Metabolite Compounds Train,morgan_fingerprint
261,['CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N+](C)(C)C)c(I)c1[O-]'],[1.],[0.69428128],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
262,['CC(=O)Nc1ccc(S(=O)(=O)N=c2nccc[n-]2)cc1'],[0.],[0.37999115],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
263,['CC(C)[NH2+]CC(O)COc1ccc(C(O)C(N)=O)cc1'],[0.],[0.49108234],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
264,['CCC=CC[C@@H](C=CC=CCC=CCC=CCCCC(=O)OCC)OO'],[0.],[0.40469949],0.490094212947154,[0],Metabolite Compounds Train,morgan_fingerprint
265,['COC(=O)c1c(C)nc(C)c(C(=O)OCC[NH+](C)Cc2ccccc2)c1-c1cccc(N)c1'],[1.],[0.62123372],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
266,['COc1cc([O-])c2[nH]cc(CCNC(C)=O)c2c1'],[0.],[0.38484844],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
267,['NC(=O)[NH+]1CCC(CC(=O)[NH+]2CCC(C3c4ncc(Br)cc4C(O)Cc4cc(Cl)cc(Br)c43)CC2)CC1'],[1.],[0.8549868],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
268,['Cc1cc([O-])nc2c1N=C(O)c1cccnc1[NH+]2C1CC1'],[0.],[0.46000571],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
269,['COCCCOc1ccnc(CS(=O)c2nc3ccc([O-])cc3[n-]2)c1C'],[1.],[0.88136942],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
270,['O=c1[n-]c2ccccc2n1CCC[NH+]1CCC(n2cnc3cc(Cl)ccc32)CC1'],[0.],[0.22854084],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
271,['COc1c(CC=C(C)CCC(=O)[O-])c([O-])c2c([O-])occ2c1C(C)C'],[1.],[0.84484936],0.5288894204791518,[1],Metabolite Compounds Train,morgan_fingerprint
272,['CCCCC[NH+](C)CCC(=O)C(O)P(=O)([O-])[O-]'],[1.],[0.8689086],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
273,['Nc1ccc([O-])c2c1C(=O)[NH+](C1CCC(=O)NC1=O)C2O'],[1.],[0.77376912],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
274,['COc1ccc2cc(CC(O)C(C)=O)ccc2c1'],[1.],[0.80655318],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
275,['CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)c([O-])c1'],[1.],[0.5317933],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
276,['Clc1ccc(C2(Cn3ccnc3)OCC(COc3ccc(N4CC[NH2+]CC4)cc3)O2)c(Cl)c1'],[0.],[0.27472488],0.5288894204791516,[0],Metabolite Compounds Train,morgan_fingerprint
277,['Cc1nc2cc(Cl)c(S(N)(=O)=O)cc2c(=O)n1-c1ccc([O-])cc1CO'],[1.],[0.56391782],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
278,['CC(CCc1ccc([O-])cc1)[NH2+]CC(O)c1ccc([O-])c(C(N)=O)c1'],[0.],[0.18001943],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
279,['O=c1[n-]c2ccc(Cl)cc2[n-]1'],[1.],[0.61418947],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
280,['CCOC(=O)c1c(COCCO)nc(C)c(C(=O)OC)c1-c1ccccc1Cl'],[1.],[0.7722063],0.5288894204791516,[1],Metabolite Compounds Train,morgan_fingerprint
281,['O=C1OC(C#CC2CC2)(C(F)(F)F)c2cc(Cl)ccc2N1O'],[0.],[0.34839222],0.5288894204791517,[0],Metabolite Compounds Train,morgan_fingerprint
282,['CC(c1nc[n+]([O-])cc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F'],[1.],[0.89430803],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
283,['N=c1[n-]c2ccc(OC(F)(F)F)c([O-])c2s1'],[1.],[0.88162588],0.5288894204791517,[1],Metabolite Compounds Train,morgan_fingerprint
